StartNode,EndNodeID,ContactWay
273,21167,timeline
273,21169,timeline
21172,21173,timeline
273,21174,timeline
770,21177,timeline
770,21178,timeline
4218,21182,timeline
13658,21184,timeline
20225,21188,timeline
10131,21193,timeline
4123,21205,timeline
17433,21227,timeline
4123,21229,timeline
21231,21232,timeline
1332,21233,timeline
17498,21236,timeline
2186,21241,timeline
4123,21249,timeline
62,21252,timeline
4123,21255,timeline
16562,21256,timeline
4123,21257,timeline
16562,21260,timeline
4123,21262,timeline
1332,21264,timeline
20225,21271,timeline
4123,21275,timeline
10506,21277,timeline
16562,21279,timeline
4329,21283,timeline
21284,21285,timeline
21288,21289,timeline
16562,21294,timeline
8184,21295,timeline
20225,21296,timeline
21238,21300,timeline
16562,21304,timeline
547,21305,timeline
8184,21306,timeline
17433,21310,timeline
4123,21312,timeline
15124,21318,timeline
6715,21453,timeline
20456,21553,timeline
5052,132,groupmessage
20181,290,groupmessage
1246,343,groupmessage
8962,371,groupmessage
1739,383,groupmessage
1332,424,groupmessage
424,425,groupmessage
240,637,groupmessage
637,638,groupmessage
637,1548,groupmessage
1739,1740,groupmessage
6765,1798,groupmessage
637,1953,groupmessage
7493,1958,groupmessage
240,2437,groupmessage
4784,2584,groupmessage
2584,2585,groupmessage
2690,2691,groupmessage
240,3918,groupmessage
4696,4697,groupmessage
4784,4940,groupmessage
240,5052,groupmessage
5310,5311,groupmessage
240,5381,groupmessage
240,5511,groupmessage
5967,5968,groupmessage
4784,6298,groupmessage
637,6796,groupmessage
6236,6860,groupmessage
240,6984,groupmessage
5310,7080,groupmessage
7148,7149,groupmessage
5311,7216,groupmessage
5300,7260,groupmessage
4784,7328,groupmessage
7493,7494,groupmessage
637,7930,groupmessage
18855,7948,groupmessage
240,8130,groupmessage
5052,8192,groupmessage
240,8262,groupmessage
1739,8280,groupmessage
5052,8842,groupmessage
1096,9982,groupmessage
240,10172,groupmessage
637,10486,groupmessage
5052,10707,groupmessage
21099,10765,groupmessage
240,10791,groupmessage
5052,11395,groupmessage
1246,11501,groupmessage
1246,11553,groupmessage
240,11631,groupmessage
1246,11784,groupmessage
637,13182,groupmessage
2676,13188,groupmessage
2690,13410,groupmessage
637,13457,groupmessage
637,13473,groupmessage
1020,13540,groupmessage
11395,13978,groupmessage
5052,14018,groupmessage
17130,14288,groupmessage
1246,14303,groupmessage
14312,14313,groupmessage
14669,14670,groupmessage
5052,14965,groupmessage
2216,15023,groupmessage
4784,15865,groupmessage
3330,15992,groupmessage
6240,16031,groupmessage
240,16124,groupmessage
1739,16372,groupmessage
637,16537,groupmessage
235,16664,groupmessage
14303,16717,groupmessage
5052,16808,groupmessage
